epoch,train_loss,val_miou,val_iou_drivable,val_f1,val_boundary_iou,val_boundary_f1,encoder_lr,decoder_lr,is_best
1,2.815592,0.949656,0.921648,0.959226,0.452621,0.602675,9.99e-05,9.99e-04,True
2,1.829629,0.954208,0.929133,0.963264,0.471584,0.618255,9.96e-05,9.96e-04,True
3,1.466006,0.957940,0.934556,0.966171,0.472733,0.619329,9.91e-05,9.91e-04,True
4,1.267524,0.966898,0.948659,0.973653,0.516507,0.659859,9.84e-05,9.84e-04,True
5,1.158621,0.961453,0.940485,0.969329,0.482064,0.628269,9.76e-05,9.76e-04,False
6,1.084209,0.962728,0.942176,0.970227,0.521162,0.664284,9.65e-05,9.65e-04,False
7,1.035847,0.968282,0.950872,0.974817,0.533239,0.673267,9.53e-05,9.52e-04,True
8,0.998198,0.965947,0.947349,0.972962,0.525173,0.668624,9.39e-05,9.38e-04,False
9,0.973966,0.967866,0.950148,0.974436,0.536776,0.677640,9.23e-05,9.22e-04,False
10,0.954445,0.966869,0.948589,0.973616,0.537530,0.679058,9.05e-05,9.05e-04,False
11,0.937211,0.970448,0.954225,0.976576,0.542172,0.682890,8.86e-05,8.85e-04,True
12,0.917913,0.963937,0.944064,0.971227,0.523293,0.664662,8.66e-05,8.65e-04,False
13,0.905031,0.970207,0.953826,0.976367,0.543632,0.683724,8.44e-05,8.42e-04,False
14,0.889648,0.970111,0.953609,0.976253,0.526393,0.669913,8.21e-05,8.19e-04,False
15,0.867034,0.966216,0.947581,0.973084,0.540092,0.679754,7.96e-05,7.94e-04,False
16,0.821094,0.968923,0.951841,0.975326,0.538578,0.676981,7.70e-05,7.68e-04,False
17,0.768789,0.958340,0.935413,0.966628,0.513150,0.654353,7.43e-05,7.41e-04,False
18,0.732458,0.967209,0.949194,0.973934,0.536473,0.676815,7.16e-05,7.13e-04,False
19,0.705394,0.966260,0.947770,0.973184,0.540578,0.678842,6.87e-05,6.84e-04,False
20,0.692168,0.969970,0.953475,0.976183,0.542292,0.682000,6.58e-05,6.55e-04,False
21,0.674226,0.970141,0.953768,0.976337,0.545810,0.685221,6.28e-05,6.25e-04,False
