epoch,train_loss,val_miou,val_iou_drivable,val_f1,val_boundary_iou,val_boundary_f1,encoder_lr,decoder_lr,is_best
1,4.918802,0.965711,0.962424,0.980852,0.384220,0.546779,9.99e-05,9.99e-04,True
2,3.663324,0.975159,0.972645,0.986132,0.489147,0.645945,9.96e-05,9.96e-04,True
3,3.141468,0.976195,0.973676,0.986662,0.503211,0.662295,9.91e-05,9.91e-04,True
4,2.775075,0.980603,0.978609,0.989188,0.557281,0.706374,9.84e-05,9.84e-04,True
5,2.521296,0.981139,0.979108,0.989443,0.581959,0.727305,9.76e-05,9.76e-04,True
6,2.342106,0.980244,0.978117,0.988937,0.535590,0.687552,9.65e-05,9.65e-04,False
7,2.187478,0.974753,0.972325,0.985968,0.491237,0.648273,9.53e-05,9.52e-04,False
8,2.049544,0.982925,0.981146,0.990483,0.628350,0.762987,9.39e-05,9.38e-04,True
9,1.948857,0.985396,0.983867,0.991868,0.673194,0.796027,9.23e-05,9.22e-04,True
10,1.897275,0.977103,0.974643,0.987158,0.580588,0.725523,9.05e-05,9.05e-04,False
11,1.816188,0.984077,0.982403,0.991123,0.646845,0.776661,8.86e-05,8.85e-04,False
12,1.771055,0.983519,0.981780,0.990806,0.649659,0.778843,8.66e-05,8.65e-04,False
13,1.718880,0.983438,0.981745,0.990788,0.603054,0.744029,8.44e-05,8.42e-04,False
14,1.683666,0.984604,0.982993,0.991423,0.654543,0.783305,8.21e-05,8.19e-04,False
15,1.642825,0.983764,0.982031,0.990933,0.693435,0.811006,7.96e-05,7.94e-04,False
16,1.616601,0.984902,0.983309,0.991584,0.639051,0.770367,7.70e-05,7.68e-04,False
17,1.612960,0.985524,0.984043,0.991957,0.689095,0.807347,7.43e-05,7.41e-04,True
18,1.559801,0.986117,0.984668,0.992274,0.681773,0.803662,7.16e-05,7.13e-04,True
19,1.535069,0.985690,0.984195,0.992034,0.692894,0.810425,6.87e-05,6.84e-04,False
20,1.523973,0.984713,0.983102,0.991478,0.692919,0.810360,6.58e-05,6.55e-04,False
21,1.496839,0.969707,0.966361,0.982892,0.597625,0.737246,6.28e-05,6.25e-04,False
22,1.492365,0.985602,0.984096,0.991984,0.678460,0.799804,5.98e-05,5.94e-04,False
23,1.472859,0.986949,0.985567,0.992731,0.706651,0.820437,5.67e-05,5.63e-04,True
24,1.470735,0.984151,0.982468,0.991156,0.680922,0.801913,5.36e-05,5.32e-04,False
25,1.453810,0.987096,0.985730,0.992813,0.723179,0.831815,5.05e-05,5.00e-04,True
26,1.429000,0.982878,0.981043,0.990430,0.702564,0.815560,4.74e-05,4.69e-04,False
27,1.422816,0.987693,0.986398,0.993152,0.732740,0.838558,4.43e-05,4.38e-04,True
28,1.415391,0.986425,0.985002,0.992444,0.721759,0.831368,4.12e-05,4.07e-04,False
29,1.401788,0.987827,0.986545,0.993227,0.741944,0.845284,3.82e-05,3.76e-04,True
30,1.394490,0.987140,0.985786,0.992842,0.749398,0.849986,3.52e-05,3.46e-04,False
31,1.382213,0.987347,0.986013,0.992957,0.730514,0.837187,3.23e-05,3.17e-04,False
32,1.374763,0.987367,0.986024,0.992962,0.756634,0.854621,2.94e-05,2.88e-04,False
33,1.370261,0.987619,0.986311,0.993108,0.740620,0.843641,2.67e-05,2.60e-04,False
34,1.359286,0.987468,0.986150,0.993026,0.712079,0.824152,2.40e-05,2.33e-04,False
35,1.351128,0.987504,0.986185,0.993044,0.726841,0.834388,2.14e-05,2.07e-04,False
36,1.349737,0.987680,0.986383,0.993144,0.723761,0.831953,1.89e-05,1.82e-04,False
37,1.341602,0.988398,0.987162,0.993539,0.768307,0.862416,1.66e-05,1.59e-04,True
38,1.336649,0.988190,0.986945,0.993429,0.759935,0.857007,1.44e-05,1.36e-04,False
39,1.332896,0.988012,0.986743,0.993327,0.755456,0.854217,1.24e-05,1.16e-04,False
40,1.327717,0.988429,0.987209,0.993563,0.755247,0.853932,1.05e-05,9.64e-05,False
41,1.324044,0.987995,0.986720,0.993315,0.765747,0.860697,8.71e-06,7.88e-05,False
42,1.322311,0.988080,0.986824,0.993368,0.750536,0.850775,7.12e-06,6.28e-05,False
43,1.320215,0.988318,0.987088,0.993501,0.755743,0.854030,5.71e-06,4.85e-05,False
44,1.316687,0.988674,0.987478,0.993699,0.766019,0.860871,4.48e-06,3.61e-05,True
45,1.310723,0.988740,0.987548,0.993734,0.767052,0.861582,3.42e-06,2.54e-05,False
46,1.311043,0.988520,0.987307,0.993613,0.752222,0.851744,2.56e-06,1.67e-05,False
47,1.307796,0.988680,0.987482,0.993701,0.762875,0.858881,1.88e-06,9.85e-06,False
48,1.308084,0.988551,0.987342,0.993630,0.759107,0.856403,1.39e-06,4.94e-06,False
49,1.308544,0.988586,0.987378,0.993649,0.763325,0.859268,1.10e-06,1.99e-06,False
50,1.304277,0.988488,0.987270,0.993593,0.764582,0.860052,1.00e-06,1.00e-06,False
