epoch,train_loss,val_miou,val_iou_drivable,val_f1,val_boundary_iou,val_boundary_f1,encoder_lr,decoder_lr,is_best
1,2.287927,0.964174,0.944484,0.971449,0.458447,0.612822,9.99e-05,9.99e-04,True
2,0.989991,0.965203,0.946151,0.972330,0.485081,0.632725,9.96e-05,9.96e-04,True
3,0.597886,0.968009,0.950335,0.974534,0.482983,0.634738,9.91e-05,9.91e-04,True
4,0.429432,0.963884,0.944006,0.971196,0.489813,0.637119,9.84e-05,9.84e-04,False
5,0.339653,0.966870,0.948517,0.973578,0.498520,0.643638,9.76e-05,9.76e-04,False
6,0.284036,0.969557,0.952817,0.975838,0.525359,0.669757,9.65e-05,9.65e-04,True
7,0.253079,0.969985,0.953531,0.976212,0.515911,0.661494,9.53e-05,9.52e-04,True
8,0.233378,0.971273,0.955394,0.977188,0.533917,0.677217,9.39e-05,9.38e-04,True
9,0.212788,0.968974,0.951857,0.975334,0.529130,0.673107,9.23e-05,9.22e-04,False
10,0.217388,0.971554,0.955872,0.977438,0.535278,0.678873,9.05e-05,9.05e-04,True
11,0.205302,0.973004,0.958166,0.978636,0.550338,0.690976,8.86e-05,8.85e-04,True
12,0.194590,0.971780,0.956241,0.977631,0.537554,0.679583,8.66e-05,8.65e-04,False
13,0.194250,0.972660,0.957672,0.978378,0.541158,0.683124,8.44e-05,8.42e-04,False
14,0.180952,0.972901,0.958044,0.978572,0.537177,0.679367,8.21e-05,8.19e-04,False
15,0.178838,0.970528,0.954237,0.976582,0.541267,0.682837,7.96e-05,7.94e-04,False
16,0.173956,0.970908,0.954926,0.976943,0.538651,0.679705,7.70e-05,7.68e-04,False
17,0.171344,0.972029,0.956664,0.977852,0.540996,0.683863,7.43e-05,7.41e-04,False
18,0.170403,0.970309,0.953974,0.976445,0.539573,0.681177,7.16e-05,7.13e-04,False
19,0.167796,0.970558,0.954279,0.976604,0.545172,0.686708,6.87e-05,6.84e-04,False
20,0.161757,0.971959,0.956466,0.977748,0.546516,0.687337,6.58e-05,6.55e-04,False
21,0.160367,0.971337,0.955521,0.977254,0.546427,0.687212,6.28e-05,6.25e-04,False
