epoch,train_loss,val_miou,val_iou_drivable,val_f1,val_boundary_iou,val_boundary_f1,encoder_lr,decoder_lr,is_best
1,3.887786,0.444823,0.837713,0.911690,0.000487,0.000953,9.99e-05,9.99e-04,True
2,2.607934,0.506266,0.773167,0.872074,0.009959,0.017910,9.96e-05,9.96e-04,True
3,1.911506,0.560753,0.849682,0.918733,0.000064,0.000126,9.91e-05,9.91e-04,True
4,1.654136,0.417861,0.835444,0.910345,0.000015,0.000030,9.84e-05,9.84e-04,False
5,1.498850,0.516420,0.858414,0.923813,0.000168,0.000329,9.76e-05,9.76e-04,False
6,1.371681,0.479268,0.849433,0.918587,0.000000,0.000000,9.65e-05,9.65e-04,False
7,1.290334,0.460988,0.847006,0.917166,0.000017,0.000033,9.53e-05,9.52e-04,False
8,1.213796,0.475015,0.813042,0.896881,0.000099,0.000195,9.39e-05,9.38e-04,False
9,1.143349,0.552735,0.868514,0.929630,0.000071,0.000138,9.23e-05,9.22e-04,False
10,1.033158,0.457885,0.844812,0.915878,0.000000,0.000000,9.05e-05,9.05e-04,False
11,0.978050,0.420974,0.837533,0.911584,0.000000,0.000000,8.86e-05,8.85e-04,False
12,0.891597,0.441414,0.840946,0.913602,0.000060,0.000118,8.66e-05,8.65e-04,False
13,0.755798,0.424764,0.838200,0.911978,0.000008,0.000017,8.44e-05,8.42e-04,False
