epoch,train_loss,val_miou,val_iou_drivable,val_f1,val_boundary_iou,val_boundary_f1,encoder_lr,decoder_lr,is_best
1,2.315065,0.976984,0.974444,0.987056,0.512438,0.667391,9.99e-05,9.99e-04,True
2,1.403168,0.981881,0.979993,0.989895,0.574366,0.718808,9.96e-05,9.96e-04,True
3,0.988409,0.983537,0.981841,0.990837,0.597989,0.738551,9.91e-05,9.91e-04,True
4,0.763008,0.983019,0.981255,0.990538,0.584748,0.729211,9.84e-05,9.84e-04,False
5,0.601984,0.984388,0.982753,0.991301,0.666127,0.791246,9.76e-05,9.76e-04,True
6,0.503329,0.982405,0.980518,0.990163,0.575664,0.721682,9.65e-05,9.65e-04,False
7,0.427611,0.985289,0.983766,0.991816,0.617680,0.754511,9.53e-05,9.52e-04,True
8,0.364137,0.985102,0.983528,0.991695,0.685916,0.805906,9.39e-05,9.38e-04,False
9,0.333278,0.984530,0.982894,0.991372,0.626278,0.760943,9.23e-05,9.22e-04,False
10,0.294881,0.985027,0.983463,0.991662,0.631570,0.764550,9.05e-05,9.05e-04,False
11,0.282943,0.984714,0.983084,0.991469,0.631054,0.763913,8.86e-05,8.85e-04,False
12,0.243517,0.984799,0.983216,0.991537,0.630718,0.764657,8.66e-05,8.65e-04,False
13,0.223988,0.985949,0.984480,0.992179,0.642118,0.773469,8.44e-05,8.42e-04,True
14,0.210190,0.985758,0.984234,0.992054,0.680006,0.802133,8.21e-05,8.19e-04,False
15,0.192224,0.985453,0.983908,0.991888,0.696658,0.813546,7.96e-05,7.94e-04,False
16,0.187464,0.986162,0.984709,0.992295,0.680860,0.802210,7.70e-05,7.68e-04,True
17,0.187604,0.985041,0.983435,0.991648,0.746930,0.849135,7.43e-05,7.41e-04,False
18,0.159641,0.986691,0.985300,0.992595,0.652892,0.781674,7.16e-05,7.13e-04,True
19,0.150968,0.986725,0.985342,0.992616,0.657292,0.784283,6.87e-05,6.84e-04,False
20,0.144654,0.985890,0.984374,0.992125,0.724254,0.832967,6.58e-05,6.55e-04,False
21,0.139554,0.986559,0.985132,0.992510,0.740336,0.844603,6.28e-05,6.25e-04,False
22,0.133994,0.986781,0.985386,0.992639,0.717797,0.828789,5.98e-05,5.94e-04,False
23,0.130731,0.986999,0.985646,0.992771,0.657730,0.784777,5.67e-05,5.63e-04,True
24,0.126666,0.986751,0.985373,0.992632,0.660960,0.787153,5.36e-05,5.32e-04,False
25,0.131620,0.986982,0.985624,0.992759,0.660177,0.786759,5.05e-05,5.00e-04,False
26,0.122722,0.986141,0.984721,0.992301,0.653238,0.781268,4.74e-05,4.69e-04,False
27,0.118821,0.987320,0.985999,0.992950,0.666903,0.792188,4.43e-05,4.38e-04,True
28,0.114190,0.986302,0.984835,0.992359,0.762700,0.859637,4.12e-05,4.07e-04,False
29,0.111727,0.986921,0.985559,0.992726,0.690455,0.810427,3.82e-05,3.76e-04,False
30,0.110202,0.986860,0.985460,0.992676,0.751080,0.851323,3.52e-05,3.46e-04,False
31,0.107981,0.986816,0.985405,0.992649,0.756266,0.854928,3.23e-05,3.17e-04,False
32,0.105990,0.987061,0.985711,0.992804,0.679289,0.800859,2.94e-05,2.88e-04,False
33,0.104149,0.987211,0.985870,0.992884,0.684163,0.804322,2.67e-05,2.60e-04,False
34,0.102495,0.987275,0.985952,0.992926,0.672631,0.796258,2.40e-05,2.33e-04,False
35,0.100784,0.987223,0.985868,0.992883,0.735032,0.840329,2.14e-05,2.07e-04,False
36,0.099492,0.987355,0.986030,0.992965,0.699467,0.815573,1.89e-05,1.82e-04,False
37,0.098473,0.987015,0.985622,0.992759,0.762868,0.859132,1.66e-05,1.59e-04,False
